battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1073,True,0.5,True,0,False,51,0.5,145.0,7,0,690.0,804.0,2908,6,0,18,False,True,False,High Cost
1936,False,2.1,True,10,True,46,0.6,104.0,3,20,667.0,1036.0,2552,14,7,13,True,False,False,High Cost
823,True,2.7,True,13,False,60,0.5,148.0,8,19,822.0,1449.0,905,14,11,17,True,True,True,low Cost
987,False,1.3,True,0,True,61,0.4,107.0,3,9,581.0,820.0,3963,9,4,20,True,False,True,Very High Cost
1757,False,0.5,False,8,False,49,0.5,180.0,6,14,265.0,713.0,2056,7,5,4,False,False,False,Medium Cost
1063,False,1.4,True,2,True,48,1.0,128.0,5,4,127.0,683.0,2910,15,13,9,True,True,True,High Cost
1484,False,3.0,False,3,False,12,0.6,134.0,3,5,916.0,969.0,1457,14,4,20,True,True,False,Medium Cost
799,True,2.3,False,1,True,63,0.8,144.0,8,6,361.0,975.0,431,15,6,6,True,True,True,low Cost
1156,True,1.2,True,0,True,50,0.8,159.0,2,0,322.0,547.0,470,7,0,15,True,True,False,low Cost
1720,False,2.0,False,15,True,55,0.5,168.0,2,18,753.0,1353.0,2148,14,2,5,True,True,True,High Cost
702,False,2.6,True,2,True,9,0.7,141.0,3,3,504.0,1570.0,2955,10,4,19,True,False,False,High Cost
616,False,1.9,True,13,True,44,0.8,81.0,3,17,651.0,1618.0,3366,18,8,13,True,True,False,Very High Cost
1358,True,0.5,False,11,True,36,0.3,155.0,4,14,1565.0,1858.0,3068,9,4,4,True,True,False,Very High Cost
1866,False,1.4,False,0,False,30,0.5,182.0,3,0,108.0,1781.0,3834,16,11,8,False,False,False,Very High Cost
1242,False,1.1,True,0,False,10,0.6,165.0,2,1,459.0,1225.0,1050,11,1,4,True,False,True,low Cost
1166,False,1.5,True,0,True,43,0.8,80.0,4,1,205.0,603.0,3993,7,1,7,True,True,False,Very High Cost
1448,True,0.5,True,6,True,45,0.8,138.0,7,11,570.0,1724.0,3378,13,11,2,True,True,True,Very High Cost
1407,True,2.4,False,1,True,22,0.7,104.0,4,4,1172.0,1217.0,2192,9,7,13,True,False,True,High Cost
605,False,1.0,False,8,True,9,0.1,142.0,3,16,160.0,1026.0,392,15,6,4,True,False,False,low Cost
1038,False,1.2,False,3,False,43,0.7,141.0,1,5,4.0,638.0,3709,11,0,12,True,True,True,Very High Cost
797,True,2.9,True,4,False,38,0.5,90.0,4,6,763.0,1413.0,590,9,2,6,False,True,False,low Cost
819,False,0.6,True,8,True,42,0.9,188.0,6,20,339.0,1242.0,1814,5,4,13,True,False,True,Medium Cost
1114,False,2.8,False,4,True,9,0.4,197.0,3,15,1040.0,1071.0,907,10,7,17,True,True,False,low Cost
1234,True,1.6,True,1,False,33,0.6,172.0,1,3,166.0,778.0,1449,11,7,6,False,False,True,low Cost
1199,True,2.5,True,15,True,16,0.2,116.0,4,20,1168.0,1552.0,3448,17,13,10,True,False,True,Very High Cost
1103,False,1.0,True,6,False,29,0.7,111.0,6,8,990.0,1486.0,1837,8,7,16,False,True,True,Medium Cost
1589,True,0.6,True,0,True,58,0.9,85.0,7,7,319.0,1206.0,3464,19,10,6,True,True,True,Very High Cost
999,False,2.9,True,11,True,64,0.2,199.0,4,19,1397.0,1616.0,2593,14,11,16,True,True,False,High Cost
1510,True,0.9,True,2,False,45,0.9,180.0,5,3,708.0,1752.0,3484,9,6,11,False,True,True,Very High Cost
1008,False,0.8,False,11,False,61,1.0,114.0,3,15,1077.0,1122.0,2009,10,3,11,True,False,False,Medium Cost
1127,True,2.9,True,5,True,57,0.8,163.0,1,13,928.0,1049.0,2048,11,5,17,True,True,True,Medium Cost
1412,True,2.4,False,5,False,25,0.8,96.0,8,17,516.0,1894.0,837,15,9,4,False,False,True,Medium Cost
1496,True,2.0,True,4,False,42,0.5,182.0,5,5,96.0,741.0,854,16,0,7,False,True,True,low Cost
1083,True,2.9,True,1,True,64,0.8,178.0,3,11,1025.0,1118.0,3210,13,3,4,True,False,False,Very High Cost
668,False,0.5,True,0,False,3,0.1,155.0,5,13,666.0,1203.0,2746,9,5,8,True,True,True,High Cost
1309,False,1.1,True,0,False,33,0.5,100.0,4,14,557.0,1402.0,2334,10,1,11,True,False,True,High Cost
1724,False,2.0,True,2,True,57,0.5,177.0,3,5,1605.0,1924.0,2822,19,3,16,True,True,False,Very High Cost
1977,True,2.0,True,7,True,54,1.0,171.0,7,18,1226.0,1242.0,1971,18,7,14,True,True,False,High Cost
885,False,2.3,True,0,True,15,0.4,103.0,7,0,769.0,802.0,1410,16,10,5,True,True,True,low Cost
879,True,2.5,False,11,True,14,0.7,83.0,6,15,403.0,1105.0,349,16,10,2,True,False,True,low Cost
1322,False,1.7,True,6,False,7,0.8,140.0,3,9,177.0,1990.0,1418,19,17,12,False,True,False,Medium Cost
1137,True,1.0,False,18,False,7,1.0,196.0,3,19,942.0,1179.0,3616,13,5,12,True,True,True,Very High Cost
1355,False,2.3,False,10,True,23,0.2,132.0,5,16,651.0,891.0,880,19,4,8,True,True,False,low Cost
1665,True,0.5,False,3,True,60,0.2,194.0,6,18,1572.0,1684.0,1601,18,17,14,True,False,False,High Cost
657,False,2.5,False,0,False,37,0.7,141.0,2,1,476.0,961.0,1412,14,3,18,False,True,False,low Cost
593,False,0.5,False,6,False,31,0.4,156.0,7,7,1233.0,1317.0,1692,6,2,7,True,False,False,Medium Cost
1883,True,0.5,False,3,True,10,0.3,146.0,6,13,836.0,1739.0,2600,16,8,20,True,False,False,Very High Cost
1732,True,1.1,False,4,True,12,0.8,119.0,8,9,824.0,881.0,1308,16,7,11,True,False,True,Medium Cost
543,False,0.5,False,0,False,57,0.7,192.0,5,4,391.0,984.0,2413,17,14,15,True,False,False,Medium Cost
1939,True,2.8,True,0,True,55,0.6,199.0,4,10,320.0,520.0,1047,14,10,18,True,True,False,low Cost
553,False,2.4,True,1,True,8,0.5,121.0,7,3,325.0,902.0,1204,11,4,8,True,True,True,low Cost
832,False,0.7,True,2,True,39,0.7,103.0,4,3,125.0,1504.0,1799,5,2,11,True,False,True,Medium Cost
1661,False,1.9,True,5,False,23,1.0,172.0,5,10,846.0,1634.0,2676,12,6,11,False,True,True,Very High Cost
1657,True,2.4,False,3,False,42,0.1,198.0,5,16,1770.0,1796.0,2597,18,1,14,True,False,False,Very High Cost
1135,True,2.0,True,0,False,46,0.3,83.0,1,4,293.0,1846.0,3029,19,17,9,True,True,True,Very High Cost
1775,True,1.5,False,3,False,41,0.1,163.0,1,7,1633.0,1869.0,2343,19,13,14,True,True,True,Very High Cost
783,False,1.8,True,0,True,43,1.0,106.0,3,4,1198.0,1471.0,2016,16,4,18,True,True,False,Medium Cost
617,True,2.3,False,0,False,32,0.5,199.0,7,20,768.0,874.0,2213,18,13,7,False,False,False,Medium Cost
867,False,1.4,True,0,True,4,0.7,135.0,6,1,70.0,1974.0,790,13,6,3,True,True,False,low Cost
1310,True,1.1,True,13,False,7,1.0,194.0,5,14,117.0,513.0,3182,8,4,5,True,True,False,High Cost
1804,False,0.5,False,9,True,22,0.6,153.0,7,19,1158.0,1244.0,3472,9,1,20,True,False,True,Very High Cost
1900,True,2.3,False,1,True,18,0.2,89.0,7,9,1055.0,1661.0,2871,12,1,13,True,True,True,Very High Cost
909,True,1.4,False,0,False,53,0.3,82.0,8,0,635.0,973.0,3187,12,9,4,True,False,False,High Cost
1084,True,2.6,False,3,True,40,0.9,107.0,3,11,322.0,771.0,1945,15,4,10,True,True,False,Medium Cost
1308,False,1.3,True,8,False,46,0.9,199.0,1,12,275.0,989.0,488,5,3,9,False,True,False,low Cost
1778,False,0.5,False,0,False,15,0.5,102.0,3,0,1445.0,1954.0,1214,5,0,14,True,False,False,Medium Cost
1701,True,1.6,True,3,False,10,0.3,194.0,8,7,550.0,1338.0,2598,12,9,6,False,True,False,High Cost
772,True,2.4,True,1,True,10,0.5,80.0,4,2,1242.0,1712.0,3242,18,11,4,True,True,False,Very High Cost
825,True,0.5,True,7,False,52,0.9,130.0,3,10,597.0,863.0,3534,10,4,6,False,True,False,Very High Cost
1379,False,1.1,False,5,True,36,0.8,200.0,2,7,538.0,1376.0,3426,5,4,17,True,True,True,Very High Cost
1166,False,2.0,False,3,True,25,0.8,198.0,5,4,59.0,1203.0,2488,13,5,15,True,False,False,High Cost
1659,False,2.8,False,5,False,16,0.6,89.0,1,20,819.0,902.0,3255,19,14,9,False,False,True,Very High Cost
826,True,2.4,True,0,True,58,0.3,88.0,4,1,179.0,786.0,2863,9,3,18,True,False,True,High Cost
1564,False,2.3,False,4,True,25,0.5,189.0,6,17,1259.0,1965.0,1496,6,4,7,True,True,True,Medium Cost
1957,False,0.9,True,11,False,31,0.6,181.0,3,16,396.0,1732.0,3801,12,0,7,True,False,True,Very High Cost
1571,False,1.4,False,0,True,19,0.1,100.0,6,1,713.0,1398.0,666,12,10,13,True,True,False,low Cost
1414,False,2.0,True,2,False,54,0.8,99.0,7,3,262.0,829.0,3799,17,7,7,True,False,True,Very High Cost
1790,False,2.5,True,9,False,2,0.1,184.0,1,14,622.0,792.0,1366,7,0,20,True,True,True,Medium Cost
645,False,0.5,False,1,False,41,1.0,197.0,7,10,327.0,580.0,2962,12,9,4,True,True,True,High Cost
668,False,2.9,True,7,False,30,0.2,195.0,8,12,522.0,1056.0,2399,10,5,7,True,True,True,Medium Cost
1652,True,1.1,True,1,False,36,0.7,89.0,4,5,313.0,1264.0,2338,12,8,20,False,False,False,High Cost
1213,True,0.5,False,0,False,16,0.5,108.0,5,0,226.0,1248.0,2700,12,3,9,False,False,True,High Cost
1272,True,2.5,True,0,False,22,0.9,133.0,6,8,605.0,669.0,2235,19,4,4,True,False,False,Medium Cost
866,False,0.5,True,5,True,46,0.5,179.0,8,7,692.0,1686.0,3825,12,11,2,True,True,True,Very High Cost
536,False,2.4,True,12,True,3,0.3,182.0,7,14,1386.0,1539.0,284,12,9,4,True,True,False,low Cost
523,False,2.6,True,1,False,14,0.1,155.0,8,2,304.0,1042.0,1427,9,1,9,False,True,False,low Cost
1753,False,0.5,True,0,True,31,0.1,134.0,1,18,1590.0,1926.0,1324,17,0,17,True,False,True,High Cost
1218,False,1.8,True,1,True,14,0.5,147.0,3,4,229.0,616.0,398,17,0,5,True,False,False,low Cost
1537,True,2.5,False,4,True,43,0.3,137.0,1,5,839.0,1131.0,3685,18,17,17,True,True,True,Very High Cost
786,False,2.2,True,0,False,33,0.5,141.0,7,6,507.0,1697.0,2390,12,11,5,True,False,True,High Cost
1678,False,2.1,False,3,True,64,0.9,134.0,3,11,436.0,536.0,278,19,0,10,True,True,False,low Cost
1814,False,1.4,True,1,True,9,0.4,141.0,2,2,756.0,786.0,3556,18,12,16,True,False,False,Very High Cost
1101,False,1.8,False,0,False,31,0.2,148.0,2,7,387.0,1269.0,2196,12,6,19,False,True,True,Medium Cost
1461,False,2.4,True,3,True,40,0.5,141.0,7,4,1265.0,1298.0,3799,16,1,4,True,False,False,Very High Cost
1216,False,3.0,False,4,False,47,0.4,199.0,3,7,1852.0,1967.0,2268,13,5,4,False,True,True,High Cost
506,False,1.6,False,6,True,41,0.8,159.0,1,7,875.0,1025.0,2965,13,10,15,True,False,False,High Cost
843,True,0.5,False,1,True,56,0.1,147.0,5,17,140.0,800.0,2341,10,1,20,True,True,True,Medium Cost
742,False,2.2,True,4,False,56,0.2,190.0,7,14,577.0,1359.0,3557,16,11,12,False,True,True,Very High Cost
1692,True,2.1,False,3,True,61,0.9,176.0,6,12,975.0,1996.0,1354,16,7,19,True,False,False,Medium Cost
1485,False,1.0,False,2,True,32,0.7,84.0,2,9,510.0,1013.0,2147,19,1,11,True,True,False,High Cost
1547,False,2.9,True,6,False,45,0.7,166.0,2,8,583.0,590.0,505,12,2,3,False,True,True,low Cost
1692,False,2.3,True,4,True,46,0.9,139.0,1,6,674.0,1925.0,1394,16,10,6,True,True,False,Medium Cost
637,False,2.3,False,3,True,60,0.8,97.0,4,4,1125.0,1989.0,374,18,4,8,True,False,True,low Cost
1224,False,0.5,False,16,True,6,0.4,109.0,6,18,747.0,826.0,506,10,0,11,True,True,True,low Cost
1356,False,2.8,False,0,False,29,0.5,198.0,6,0,1612.0,1983.0,3702,17,0,19,False,False,False,Very High Cost
1840,False,0.5,True,12,False,34,0.7,142.0,1,16,311.0,1545.0,1078,8,0,10,False,False,False,Medium Cost
1481,True,0.7,True,4,True,37,0.6,96.0,5,13,116.0,1533.0,2945,10,5,16,True,True,True,High Cost
961,True,1.5,True,10,False,51,0.3,152.0,6,16,554.0,621.0,2981,15,6,7,True,True,True,High Cost
1296,False,0.9,True,0,True,14,0.5,124.0,5,3,811.0,1272.0,490,7,1,4,True,True,True,low Cost
1193,False,0.9,False,11,False,26,0.5,166.0,1,20,730.0,1729.0,536,17,14,4,True,False,True,low Cost
1441,False,2.1,True,11,True,3,0.1,118.0,8,17,577.0,1071.0,2317,16,4,7,True,False,True,High Cost
517,False,1.4,True,3,True,33,0.8,183.0,4,8,660.0,974.0,3704,17,16,11,True,False,True,Very High Cost
748,True,1.7,False,0,True,27,0.9,150.0,8,4,450.0,1554.0,2126,18,9,7,True,False,False,Medium Cost
1126,True,2.4,False,2,True,10,0.4,160.0,6,3,1223.0,1611.0,2050,7,6,12,True,True,True,High Cost
1572,False,0.6,False,0,True,58,0.2,157.0,7,8,1109.0,1937.0,2462,12,8,10,True,False,False,Very High Cost
1569,False,2.8,True,17,False,44,0.3,110.0,4,20,45.0,1942.0,1260,9,2,17,True,False,False,Medium Cost
1270,True,0.6,True,2,True,32,0.5,101.0,7,6,299.0,845.0,3770,5,3,13,True,True,False,Very High Cost
1854,False,3.0,False,2,True,8,0.1,101.0,5,5,506.0,627.0,1886,17,4,20,True,True,False,Medium Cost
625,True,1.2,True,5,True,10,0.2,183.0,4,8,635.0,842.0,3323,9,1,7,True,True,True,High Cost
1577,False,0.5,True,0,True,42,0.3,197.0,5,4,1045.0,1737.0,2060,19,6,12,True,False,False,High Cost
534,False,0.5,True,0,True,16,1.0,189.0,5,1,393.0,1199.0,3926,16,12,20,True,False,False,Very High Cost
946,False,1.7,True,8,True,25,0.8,143.0,6,15,650.0,1740.0,2177,7,5,13,True,True,True,High Cost
685,False,0.5,False,2,False,29,0.8,93.0,7,10,433.0,648.0,728,14,8,4,False,False,True,low Cost
1949,False,1.3,True,0,False,23,0.1,101.0,5,1,839.0,1136.0,2478,14,8,20,True,False,False,Very High Cost
947,False,0.8,True,0,True,22,0.1,197.0,2,13,1176.0,1220.0,2842,16,12,2,True,False,False,High Cost
801,True,2.2,True,2,False,63,0.4,165.0,7,4,650.0,879.0,1617,17,4,19,False,False,True,Medium Cost
703,True,2.7,False,12,True,30,0.3,113.0,1,20,218.0,1065.0,1472,14,7,7,True,False,False,low Cost
1165,True,2.4,False,11,False,41,0.2,178.0,6,12,564.0,831.0,764,19,12,15,True,False,False,low Cost
1082,False,0.8,False,0,False,38,0.1,198.0,8,5,986.0,1191.0,2337,6,1,17,False,True,True,High Cost
959,True,2.6,True,15,False,20,1.0,84.0,4,19,561.0,1631.0,3965,16,1,6,True,False,False,Very High Cost
1502,True,1.2,False,0,False,54,0.2,138.0,5,12,65.0,588.0,3693,17,14,16,True,True,False,Very High Cost
1380,True,2.1,True,1,True,4,0.8,92.0,3,13,420.0,500.0,797,13,2,15,True,True,False,low Cost
1266,False,0.5,False,0,True,5,0.1,95.0,6,9,1365.0,1698.0,1687,11,0,18,True,False,False,High Cost
1934,True,2.6,True,0,True,46,0.1,103.0,1,17,619.0,1299.0,2940,13,9,2,True,True,True,Very High Cost
1905,True,0.5,False,3,True,6,0.5,151.0,1,5,849.0,898.0,1545,9,5,10,True,True,False,Medium Cost
1831,False,1.4,True,2,False,43,0.9,150.0,5,5,611.0,1381.0,3834,17,7,13,True,True,True,Very High Cost
596,False,1.4,False,8,False,46,0.6,165.0,1,18,953.0,984.0,2505,15,4,15,True,True,False,Medium Cost
1562,True,1.3,True,1,True,7,0.2,190.0,5,15,642.0,1533.0,2243,12,10,6,True,False,False,High Cost
1490,True,0.5,True,4,True,64,0.3,150.0,8,8,1417.0,1464.0,3600,17,9,7,True,True,True,Very High Cost
1523,True,2.4,False,5,True,57,0.2,117.0,2,6,247.0,539.0,3971,18,12,10,True,True,True,Very High Cost
640,False,0.6,False,0,False,20,0.1,163.0,4,15,710.0,1179.0,2844,7,5,18,True,True,False,High Cost
1526,False,2.1,False,1,True,23,0.2,117.0,7,8,718.0,751.0,2227,18,10,3,True,True,False,High Cost
1989,False,2.5,True,0,True,41,0.8,94.0,3,13,1100.0,1497.0,1665,17,9,12,True,True,True,High Cost
1308,False,1.9,False,0,True,61,0.7,106.0,3,7,59.0,1215.0,3355,15,2,4,True,False,True,Very High Cost
609,False,0.5,False,3,False,26,0.3,93.0,4,4,938.0,1948.0,1866,11,10,14,True,True,True,Medium Cost
1905,False,0.6,True,9,True,36,0.4,119.0,3,20,825.0,1542.0,1287,13,4,16,True,False,False,Medium Cost
1703,True,0.5,False,0,True,22,0.6,192.0,1,0,286.0,1235.0,1046,5,4,13,True,False,True,low Cost
1445,True,2.4,True,7,True,20,0.4,173.0,7,15,1273.0,1345.0,1441,7,4,13,True,True,True,Medium Cost
1087,False,1.3,False,0,True,16,0.3,166.0,3,9,295.0,589.0,690,14,6,6,True,False,True,low Cost
671,False,0.9,True,10,False,30,0.7,105.0,7,17,852.0,1182.0,2504,6,4,15,True,False,False,High Cost
1472,True,2.3,False,6,False,61,0.1,168.0,6,19,710.0,1052.0,2677,19,15,8,True,False,False,High Cost
765,False,0.5,True,0,True,47,0.3,115.0,8,1,1277.0,1429.0,2243,11,7,4,True,False,True,High Cost
1642,False,0.5,True,16,True,8,0.3,171.0,6,17,129.0,873.0,2984,13,4,17,True,False,True,High Cost
1265,False,1.5,False,7,False,49,0.7,182.0,5,16,690.0,836.0,1362,5,0,12,False,False,True,Medium Cost
664,True,1.1,True,1,True,51,0.1,110.0,7,4,701.0,1478.0,3629,19,15,6,True,True,True,Very High Cost
1277,True,0.5,True,0,True,35,0.4,142.0,6,6,309.0,1460.0,3559,18,17,6,True,True,False,Very High Cost
1395,False,1.8,True,0,False,23,0.1,111.0,3,1,213.0,705.0,2571,11,0,13,True,False,True,High Cost
1539,True,2.6,False,0,False,41,0.1,159.0,8,0,1112.0,1666.0,2107,15,9,10,True,False,True,High Cost
1049,True,2.2,False,9,False,63,0.5,135.0,5,17,199.0,1077.0,1022,11,3,13,False,False,False,low Cost
1827,False,1.7,False,4,True,39,0.5,128.0,5,16,55.0,1020.0,2844,14,9,10,True,True,False,High Cost
903,False,1.0,True,0,True,50,0.4,91.0,1,0,1230.0,1235.0,711,9,5,10,True,True,False,low Cost
1987,True,0.5,False,3,True,53,1.0,181.0,3,7,1052.0,1516.0,3117,18,5,8,True,True,True,Very High Cost
1154,False,1.2,True,0,True,49,0.2,181.0,8,2,541.0,1499.0,978,5,3,7,True,False,True,low Cost
1336,False,0.9,False,5,True,17,0.2,194.0,5,9,55.0,583.0,1869,13,1,16,True,True,True,Medium Cost
1886,False,0.5,False,0,True,24,0.4,112.0,3,1,809.0,1958.0,1179,16,7,20,True,False,True,Medium Cost
1551,False,1.1,False,4,False,51,0.1,88.0,5,6,1738.0,1995.0,3844,11,8,4,False,True,False,Very High Cost
850,True,1.6,True,6,True,29,0.5,133.0,5,19,404.0,642.0,593,19,17,10,True,False,True,low Cost
660,False,0.5,False,5,True,40,0.5,111.0,2,10,262.0,1178.0,588,6,5,18,True,True,True,low Cost
1225,True,2.1,True,8,False,13,0.5,116.0,4,12,759.0,1404.0,3836,12,11,11,False,False,False,Very High Cost
1452,True,0.5,True,1,True,25,0.9,123.0,6,11,42.0,1040.0,2669,12,10,13,True,False,False,High Cost
1686,True,2.8,True,3,False,38,0.1,166.0,4,4,397.0,1453.0,2958,14,11,2,False,False,False,Very High Cost
1634,True,1.4,False,1,True,17,0.2,200.0,2,5,964.0,1677.0,3031,11,6,6,True,True,True,Very High Cost
1708,True,2.4,True,18,True,49,0.1,109.0,1,19,233.0,517.0,3388,6,4,16,True,True,True,Very High Cost
1151,True,2.9,True,0,False,31,0.6,128.0,8,1,1022.0,1560.0,2377,18,8,13,False,True,False,High Cost
1578,False,1.9,True,2,True,37,0.1,138.0,4,19,411.0,1226.0,2458,19,16,3,True,False,True,High Cost
1689,False,1.8,False,17,False,24,0.3,127.0,3,18,954.0,1200.0,2766,7,2,7,False,True,True,Very High Cost
1488,False,0.5,False,1,False,39,0.8,112.0,5,6,1528.0,1647.0,3054,14,10,19,False,False,False,Very High Cost
1313,True,1.8,True,4,False,9,0.4,105.0,1,6,416.0,1308.0,3791,11,10,6,False,True,True,Very High Cost
1715,False,1.0,True,4,True,31,0.5,83.0,8,17,638.0,1615.0,625,17,6,13,True,False,False,low Cost
1442,False,1.0,True,0,False,27,0.1,192.0,3,19,231.0,687.0,2227,6,5,20,True,True,False,Medium Cost
528,False,1.7,False,12,True,6,0.8,142.0,2,15,574.0,637.0,3256,9,8,6,True,True,False,High Cost
1523,True,1.8,False,6,True,11,0.1,129.0,1,8,148.0,1606.0,707,19,8,19,True,True,False,low Cost
